country;subnational1;threshold;area_ha;extent_2000_ha;extent_2010_ha;gain_2000-2012_ha;tc_loss_ha_2001;tc_loss_ha_2002;tc_loss_ha_2003;tc_loss_ha_2004;tc_loss_ha_2005;tc_loss_ha_2006;tc_loss_ha_2007;tc_loss_ha_2008;tc_loss_ha_2009;tc_loss_ha_2010;tc_loss_ha_2011;tc_loss_ha_2012;tc_loss_ha_2013;tc_loss_ha_2014;tc_loss_ha_2015;tc_loss_ha_2016;tc_loss_ha_2017;tc_loss_ha_2018;tc_loss_ha_2019;tc_loss_ha_2020;tc_loss_ha_2021;tc_loss_ha_2022;tc_loss_ha_2023;tc_loss_ha_2024
Indonesia;Bengkulu;25;1981482;1805546;1797268;66292;14211;10426;8108;25993;13146;23594;17584;22358;18759;16016;24572;27774;14176;20365;20258;24456;27343;24707;18294;16388;14415;23924;30126;21128
Indonesia;Bengkulu;30;1981482;1795200;1788505;66292;14198;10421;8104;25985;13142;23589;17580;22353;18756;16012;24563;27761;14153;20320;20197;24378;27232;24624;18200;16311;14326;23800;29912;20998
Indonesia;Bengkulu;50;1981482;1741707;1730435;66292;14097;10377;8067;25900;13105;23507;17530;22299;18704;15975;24494;27661;14021;20052;19865;23913;26639;24113;17680;15890;13818;23155;28795;20276
Indonesia;Bengkulu;75;1981482;1578014;1580929;66292;13623;10080;7856;25279;12796;22833;17072;21859;18336;15675;24040;27043;13363;18776;18540;22048;24270;22051;15838;14051;11789;20582;24889;17813
Indonesia;Gorontalo;0;1204170;1204170;1204170;6432;3550;8111;2819;7027;4263;5283;4361;1810;11393;1583;3027;4091;6583;12173;16219;13913;9717;9821;14425;3599;2691;3470;12034;5632
Indonesia;Gorontalo;10;1204170;1028987;1007206;6432;3516;8052;2810;6977;4251;5263;4342;1802;11314;1575;2993;3951;6037;10633;13773;11397;8212;8340;11553;3137;2297;2937;8825;4801
Indonesia;Gorontalo;15;1204170;1018759;993544;6432;3511;8038;2809;6966;4247;5258;4338;1799;11297;1574;2988;3941;6004;10539;13616;11227;8101;8229;11349;3101;2266;2900;8619;4746
Indonesia;Gorontalo;20;1204170;1013635;990855;6432;3508;8026;2808;6959;4244;5254;4334;1797;11279;1572;2985;3939;5980;10476;13507;11118;8027;8158;11222;3078;2245;2874;8497;4713
Indonesia;Gorontalo;25;1204170;1009995;984738;6432;3504;8021;2806;6956;4243;5252;4333;1797;11272;1571;2981;3935;5969;10446;13446;11053;7984;8114;11153;3065;2235;2860;8421;4691
Indonesia;Gorontalo;30;1204170;1002909;977902;6432;3499;8013;2806;6949;4241;5250;4329;1794;11263;1570;2979;3927;5938;10353;13286;10910;7869;8007;10959;3030;2199;2819;8242;4643
Indonesia;Gorontalo;50;1204170;973874;944298;6432;3463;7928;2797;6883;4221;5215;4297;1780;11144;1557;2947;3882;5831;10044;12744;10383;7474;7614;10269;2918;2095;2682;7575;4454
Indonesia;Gorontalo;75;1204170;905674;880666;6432;3263;7472;2709;6491;4044;4950;4038;1671;10283;1466;2782;3690;5460;8997;11009;8849;6091;6321;8029;2491;1720;2183;5819;3908
Indonesia;Jakarta Raya;0;65340;65340;65340;1076;4;0;0;3;1;4;2;2;0;3;4;1;1;0;1;1;2;0;1;3;1;0;12;6
Indonesia;Jakarta Raya;10;65340;5548;2934;1076;4;0;0;1;1;4;2;2;0;2;4;1;0;0;0;0;1;0;0;0;1;0;1;2
Indonesia;Jakarta Raya;15;65340;2757;2133;1076;4;0;0;1;1;4;2;2;0;2;4;1;0;0;0;0;1;0;0;0;1;0;1;2
Indonesia;Jakarta Raya;20;65340;2433;2015;1076;4;0;0;1;1;4;2;2;0;2;4;1;0;0;0;0;1;0;0;0;1;0;1;2
Indonesia;Jakarta Raya;25;65340;1534;1864;1076;4;0;0;1;0;4;2;2;0;2;4;1;0;0;0;0;1;0;0;0;1;0;0;1
Indonesia;Jakarta Raya;30;65340;1302;1551;1076;4;0;0;1;0;4;2;2;0;2;4;1;0;0;0;0;1;0;0;0;1;0;0;0
Indonesia;Jakarta Raya;50;65340;706;771;1076;4;0;0;1;0;3;2;1;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0
Indonesia;Jakarta Raya;75;65340;282;293;1076;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Indonesia;Jambi;0;4896326;4896326;4896326;204409;47236;45465;21658;98185;71830;122718;121920;127634;126721;36996;49099;154041;69901;81098;63809;163817;92868;74855;72598;82393;77236;80005;101609;99342
Indonesia;Jambi;10;4896326;4556620;4483662;204409;47047;45223;21551;97338;71171;120046;119437;124649;125724;36727;48958;152793;67170;78099;61224;158659;87637;70981;68635;79244;73904;76491;95212;92762
Indonesia;Jambi;15;4896326;4534655;4452516;204409;47015;45188;21537;97277;71122;119930;119331;124551;125667;36713;48944;152710;67026;77899;61037;158243;87227;70685;68352;78997;73680;76248;94803;92329
Indonesia;Jambi;20;4896326;4515431;4423497;204409;46973;45137;21522;97201;71070;119743;119147;124394;125595;36693;48926;152524;66881;77705;60862;157843;86824;70410;68082;78757;73455;75999;94400;91918
Indonesia;Jambi;25;4896326;4503929;4400073;204409;46946;45109;21512;97154;71039;119688;119092;124352;125570;36688;48919;152472;66819;77594;60763;157623;86595;70248;67931;78619;73331;75865;94177;91709
Indonesia;Jambi;30;4896326;4484184;4373114;204409;46911;45074;21497;97086;71003;119577;118972;124204;125511;36678;48905;152388;66707;77432;60611;157246;86203;69978;67673;78387;73131;75657;93816;91324
Indonesia;Jambi;50;4896326;4377663;4155539;204409;46594;44755;21368;96467;70616;118724;118155;123464;125017;36574;48780;151607;66035;76419;59726;154983;83979;68376;66204;76991;72025;74432;91781;89176
Indonesia;Jambi;75;4896326;3933367;3728392;204409;44535;42485;20309;91491;67331;112625;112145;117921;120571;35585;47605;146936;62411;70868;55154;143197;73839;60528;58893;70142;65455;67342;80388;77153
Indonesia;Jawa Barat;0;3705869;3705869;3705869;38744;6838;3886;1996;3746;2353;5316;3074;5166;2920;2662;5630;3946;3174;4460;4516;4341;7133;6203;9891;4367;3433;3375;8119;5797
Indonesia;Jawa Barat;10;3705869;2240152;2191342;38744;6812;3865;1985;3696;2335;5277;3061;5135;2899;2641;5482;3798;2699;3911;3744;3828;5990;4865;7629;3688;2772;2759;6160;4780
Indonesia;Jawa Barat;15;3705869;2163930;2091353;38744;6808;3861;1984;3686;2334;5269;3060;5130;2896;2640;5467;3785;2660;3873;3689;3786;5898;4765;7462;3629;2718;2707;6000;4686
Indonesia;Jawa Barat;20;3705869;2125174;2074910;38744;6806;3857;1983;3676;2330;5263;3059;5127;2891;2639;5454;3776;2631;3833;3629;3746;5824;4686;7310;3577;2674;2668;5878;4615
Indonesia;Jawa Barat;25;3705869;2075885;2034082;38744;6802;3853;1980;3663;2328;5248;3057;5120;2887;2634;5436;3766;2603;3803;3575;3708;5749;4608;7169;3526;2631;2629;5741;4537
